City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
27,Tuktoyaktuk,CA,2022-03-11 19:57:48,69.4541,-133.0374,-4.0,77,100,11.5
28,Buluang,PH,2022-03-11 19:57:49,13.3068,123.3425,74.48,94,98,2.3
29,Baker City,US,2022-03-11 19:57:49,44.7749,-117.8344,38.59,52,67,4.07
30,Port Keats,AU,2022-03-11 19:57:50,-14.25,129.55,75.99,93,100,8.23
31,Eyl,SO,2022-03-11 19:57:50,7.9803,49.8164,76.3,73,99,13.15
32,Georgetown,MY,2022-03-11 19:55:57,5.4112,100.3354,82.33,93,20,5.01
33,Hilo,US,2022-03-11 19:55:58,19.7297,-155.09,78.62,78,10,4.0
34,Pangai,TO,2022-03-11 19:57:51,-19.8,-174.35,78.91,83,100,6.91
35,Kibre Mengist,ET,2022-03-11 19:57:52,5.8833,38.9833,59.97,46,99,1.66
36,Pitkyaranta,RU,2022-03-11 19:57:52,61.5734,31.4792,32.49,94,100,4.97
37,Bengkulu,ID,2022-03-11 19:57:53,-3.8004,102.2655,75.33,90,100,3.42
38,Palmer,US,2022-03-11 19:54:30,42.1584,-72.3287,53.85,38,75,11.5
39,Constitucion,CL,2022-03-11 19:57:54,-35.3333,-72.4167,68.86,56,0,7.16
40,Airai,TL,2022-03-11 19:57:55,-8.9266,125.4092,60.17,94,68,1.48
41,Guanambi,BR,2022-03-11 19:57:55,-14.2233,-42.7814,87.67,42,89,8.01
42,Majene,ID,2022-03-11 19:57:57,-3.5403,118.9707,78.82,89,99,3.06
43,Bangangte,CM,2022-03-11 19:57:57,5.1409,10.5198,66.49,88,69,4.03
44,Tura,IN,2022-03-11 19:57:58,25.5198,90.2201,68.23,26,18,1.54
45,Kedrovyy,RU,2022-03-11 19:57:58,56.1667,91.8167,-10.14,100,100,1.57
46,Lorengau,PG,2022-03-11 19:57:59,-2.0226,147.2712,80.44,77,100,3.02
47,Mount Gambier,AU,2022-03-11 19:55:48,-37.8333,140.7667,44.51,93,0,4.61
48,Avera,US,2022-03-11 19:58:00,33.194,-82.5271,56.37,89,100,7.76
49,Boyolangu,ID,2022-03-11 19:59:00,-8.1181,111.8935,74.7,94,100,4.25
50,Leningradskiy,RU,2022-03-11 19:59:01,69.3833,178.4167,2.59,71,2,2.71
51,Ogdensburg,US,2022-03-11 19:54:31,44.6942,-75.4863,41.45,67,20,5.75
52,Zhelyabovka,UA,2022-03-11 19:59:01,45.3988,34.7578,30.65,96,100,13.04
53,Lengshuijiang,CN,2022-03-11 19:59:02,27.6881,111.4294,68.22,82,95,1.92
54,Aloleng,PH,2022-03-11 19:59:03,16.1307,119.7824,78.08,77,100,3.15
55,Provideniya,RU,2022-03-11 19:59:03,64.3833,-173.3,20.32,49,0,12.15
56,Broken Hill,AU,2022-03-11 19:59:03,-31.95,141.4333,56.91,44,62,3.44
57,Bibiani,GH,2022-03-11 19:59:04,6.4635,-2.3194,80.8,72,87,6.38
